Release 11.1 - par L.33 (lin)
Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

Fri Apr  9 15:26:36 2010


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       leon3mp.ncd
OUTPUT FILE:      leon3mp_pad.txt
PART TYPE:        xc3s1600e
SPEED GRADE:      -4
PACKAGE:          fg320

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                 |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|E8        |           |DIFFM    |IO_L17P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|E9        |           |DIFFM    |IO_L15P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|E10       |           |DIFFS    |IO_L11N_0/GCLK5          |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|E11       |           |DIFFM    |IO_L08P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|E12       |           |DIFFS    |IO_L06N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|E13       |           |IOB      |IO                       |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|E14       |           |         |VCCINT                   |             |           |              |          |         |           |         |1.2    |          |           |                |
|E15       |           |DIFFM    |IO_L22P_1                |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|E16       |           |DIFFS    |IO_L22N_1                |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|E17       |           |IBUF     |IP                       |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|E18       |           |IBUF     |IP                       |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|F1        |ddr_dq(10) |IOB      |IO_L05P_3                |BIDIR        |SSTL2_I    |3             |          |         |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|F2        |ddr_dq(11) |IOB      |IO_L05N_3                |BIDIR        |SSTL2_I    |3             |          |         |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|F3        |           |         |VCCO_3                   |             |           |3             |          |         |           |         |2.50   |          |           |                |
|F4        |           |IBUF     |IP                       |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|F5        |           |IBUF     |IP                       |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|F6        |           |         |VCCINT                   |             |           |              |          |         |           |         |1.2    |          |           |                |
|F7        |           |DIFFM    |IO_L19P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|F8        |           |DIFFS    |IO_L17N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|F9        |           |DIFFS    |IO_L15N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|F10       |           |DIFFMI   |IP_L10P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|F11       |           |DIFFS    |IO_L08N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|F12       |           |DIFFM    |IO_L06P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|F13       |           |         |VCCINT                   |             |           |              |          |         |           |         |1.2    |          |           |                |
|F14       |vid_vsync  |IOB      |IO_L21N_1                |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|F15       |vid_hsync  |IOB      |IO_L21P_1                |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|F16       |           |         |VCCO_1                   |             |           |1             |          |         |           |         |3.30   |          |           |                |
|F17       |           |DIFFS    |IO_L19N_1                |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|F18       |           |DIFFM    |IO_L19P_1                |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|G1        |           |IBUF     |IP                       |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|G2        |           |         |VCCAUX                   |             |           |              |          |         |           |         |2.5    |          |           |                |
|G3        |ddr_dqs(1) |IOB      |IO_L06P_3                |TRISTATE     |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|G4        |           |DIFFS    |IO_L06N_3/VREF_3         |VREF Required|           |3             |          |         |           |         |1.25   |PROHIBITED|           |                |
|G5        |ddr_dq(13) |IOB      |IO_L07N_3                |BIDIR        |SSTL2_I    |3             |          |         |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|G6        |ddr_dq(12) |IOB      |IO_L07P_3                |BIDIR        |SSTL2_I    |3             |          |         |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|G7        |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|G8        |           |         |VCCO_0                   |             |           |0             |          |         |           |         |3.30   |          |           |                |
|G9        |           |IOB      |IO                       |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|G10       |           |DIFFSI   |IP_L10N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|G11       |           |         |VCCO_0                   |             |           |0             |          |         |           |         |3.30   |          |           |                |
|G12       |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|G13       |ps2data    |IOB      |IO_L20N_1                |BIDIR        |LVCMOS33   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
